thread_id,thread_title,question,post_date,comment
2155821,Otroligt dåligt trådlöst 1 våning ner i huset (comhem) Tips på nytt?,"Hej
Har 24 mbit/s ner och 1mbit/s upp.
Min trådlösa router är på ovanvåningen i huset och om jag sitter på nedanvåningen i vardagsrummet eller i köket är signalen helt hopplös, internet är fruktansvärt långsamt och oftast funkar det inte ens, går inte att streama klipp i 480p upplösning osv...
Vad kan jag köpa för att""förlänga"" internet eller göra det""starkare""?
Har läst lite om något man kan sätta i Eluttagen ..men jag är inte så duktig inom området så ni får hjälpa mig!
MVH
EDIT: Har denna routern Netgear CG3100",2013-06-03,"Kjell & Company har en massa lösningar, besök en sådan butik så lär dom dig, dom har dessutom en bra bok dom säljer billigt med en massa bra lösningar"
2155821,Otroligt dåligt trådlöst 1 våning ner i huset (comhem) Tips på nytt?,"Hej
Har 24 mbit/s ner och 1mbit/s upp.
Min trådlösa router är på ovanvåningen i huset och om jag sitter på nedanvåningen i vardagsrummet eller i köket är signalen helt hopplös, internet är fruktansvärt långsamt och oftast funkar det inte ens, går inte att streama klipp i 480p upplösning osv...
Vad kan jag köpa för att""förlänga"" internet eller göra det""starkare""?
Har läst lite om något man kan sätta i Eluttagen ..men jag är inte så duktig inom området så ni får hjälpa mig!
MVH
EDIT: Har denna routern Netgear CG3100",2013-06-03,"
Tack"
2155821,Otroligt dåligt trådlöst 1 våning ner i huset (comhem) Tips på nytt?,"Hej
Har 24 mbit/s ner och 1mbit/s upp.
Min trådlösa router är på ovanvåningen i huset och om jag sitter på nedanvåningen i vardagsrummet eller i köket är signalen helt hopplös, internet är fruktansvärt långsamt och oftast funkar det inte ens, går inte att streama klipp i 480p upplösning osv...
Vad kan jag köpa för att""förlänga"" internet eller göra det""starkare""?
Har läst lite om något man kan sätta i Eluttagen ..men jag är inte så duktig inom området så ni får hjälpa mig!
MVH
EDIT: Har denna routern Netgear CG3100",2013-06-03,"
Lugnt och även på nätet så är beskrivningarna av prylarna jävligt bra på kjell.com"
2155821,Otroligt dåligt trådlöst 1 våning ner i huset (comhem) Tips på nytt?,"Hej
Har 24 mbit/s ner och 1mbit/s upp.
Min trådlösa router är på ovanvåningen i huset och om jag sitter på nedanvåningen i vardagsrummet eller i köket är signalen helt hopplös, internet är fruktansvärt långsamt och oftast funkar det inte ens, går inte att streama klipp i 480p upplösning osv...
Vad kan jag köpa för att""förlänga"" internet eller göra det""starkare""?
Har läst lite om något man kan sätta i Eluttagen ..men jag är inte så duktig inom området så ni får hjälpa mig!
MVH
EDIT: Har denna routern Netgear CG3100",2013-06-03,"Hur funkar det, nätverk:
http://www.kjell.com/fraga-kjell/hur-funkar-det/natverk/terminologi-och-anslutningar
Om Homeplug:
http://www.kjell.com/fraga-kjell/hur-funkar-det/natverk/hemnatverk/lokalt-tradbundet-natverk
Devolo:
http://devolo.se/"
2155821,Otroligt dåligt trådlöst 1 våning ner i huset (comhem) Tips på nytt?,"Hej
Har 24 mbit/s ner och 1mbit/s upp.
Min trådlösa router är på ovanvåningen i huset och om jag sitter på nedanvåningen i vardagsrummet eller i köket är signalen helt hopplös, internet är fruktansvärt långsamt och oftast funkar det inte ens, går inte att streama klipp i 480p upplösning osv...
Vad kan jag köpa för att""förlänga"" internet eller göra det""starkare""?
Har läst lite om något man kan sätta i Eluttagen ..men jag är inte så duktig inom området så ni får hjälpa mig!
MVH
EDIT: Har denna routern Netgear CG3100",2013-06-08,"ignorera detta"
2155821,Otroligt dåligt trådlöst 1 våning ner i huset (comhem) Tips på nytt?,"Hej
Har 24 mbit/s ner och 1mbit/s upp.
Min trådlösa router är på ovanvåningen i huset och om jag sitter på nedanvåningen i vardagsrummet eller i köket är signalen helt hopplös, internet är fruktansvärt långsamt och oftast funkar det inte ens, går inte att streama klipp i 480p upplösning osv...
Vad kan jag köpa för att""förlänga"" internet eller göra det""starkare""?
Har läst lite om något man kan sätta i Eluttagen ..men jag är inte så duktig inom området så ni får hjälpa mig!
MVH
EDIT: Har denna routern Netgear CG3100",2013-06-08,"
Leffe1337
 med tanke på ditt inlägg så tror jag en repeater fungerar bäst. Dock bör du vara medveten om att den lösningen inte är så stabil alla gånger. Men om du kan leva med det, då funkar det nog bra för dig. På kjell finns lite olika varianter av repeaters för trådlösa nät."
2155821,Otroligt dåligt trådlöst 1 våning ner i huset (comhem) Tips på nytt?,"Hej
Har 24 mbit/s ner och 1mbit/s upp.
Min trådlösa router är på ovanvåningen i huset och om jag sitter på nedanvåningen i vardagsrummet eller i köket är signalen helt hopplös, internet är fruktansvärt långsamt och oftast funkar det inte ens, går inte att streama klipp i 480p upplösning osv...
Vad kan jag köpa för att""förlänga"" internet eller göra det""starkare""?
Har läst lite om något man kan sätta i Eluttagen ..men jag är inte så duktig inom området så ni får hjälpa mig!
MVH
EDIT: Har denna routern Netgear CG3100",2013-06-09,"Med en sån här T-koppling kan du ha två antenner, en för vertikal och en för horisontal kommunikation.
http://www.ebay.com/itm/RP-SMA-Female-2-RP-SMA-Male-adapter-Router-NIC-/370415898481?pt=LH_DefaultDomain_0&hash=item563e82  0f71"
2155821,Otroligt dåligt trådlöst 1 våning ner i huset (comhem) Tips på nytt?,"Hej
Har 24 mbit/s ner och 1mbit/s upp.
Min trådlösa router är på ovanvåningen i huset och om jag sitter på nedanvåningen i vardagsrummet eller i köket är signalen helt hopplös, internet är fruktansvärt långsamt och oftast funkar det inte ens, går inte att streama klipp i 480p upplösning osv...
Vad kan jag köpa för att""förlänga"" internet eller göra det""starkare""?
Har läst lite om något man kan sätta i Eluttagen ..men jag är inte så duktig inom området så ni får hjälpa mig!
MVH
EDIT: Har denna routern Netgear CG3100",2013-06-09,"Köpa en lös router med bra wifi, cg3100 är ökänd för sin extremt dåliga wifi."
329891,Omvandla gram till dl?,Har precis köpt en gainer och det står att man ska ha i 50 gram. Hur mycket är det i ett dl-mått?,2006-05-20,"Det beror på varan."
329891,Omvandla gram till dl?,Har precis köpt en gainer och det står att man ska ha i 50 gram. Hur mycket är det i ett dl-mått?,2006-05-20,"Har du linjal kan du lägga ut en lina på bordet och mäta. En dm motsvarar 20 gram. Så mät upp 25 cm gainer."
329891,Omvandla gram till dl?,Har precis köpt en gainer och det står att man ska ha i 50 gram. Hur mycket är det i ett dl-mått?,2006-05-20,"Alltså är gainer det som ska mätas upp?"
329891,Omvandla gram till dl?,Har precis köpt en gainer och det står att man ska ha i 50 gram. Hur mycket är det i ett dl-mått?,2006-05-20,"
Skrev ju att det var en Gainer. Alltså pulver.
Ja"
329891,Omvandla gram till dl?,Har precis köpt en gainer och det står att man ska ha i 50 gram. Hur mycket är det i ett dl-mått?,2006-05-20,"Jag blev konfunderad eftersom du skrev""en"" framför. Men om du räknar ut förhållandet mellan burkens vikt och volym så borde du väl få svaret."
329891,Omvandla gram till dl?,Har precis köpt en gainer och det står att man ska ha i 50 gram. Hur mycket är det i ett dl-mått?,2006-05-20,"Jag är tämligen säker på att en deciliter motsvarar ca. 50 gram i ditt fall, jag äter själv en pulverbaserad måltidsersättning, vilken väger 45 gram per deciliter, någon större skillnad kan jag inte tänka mig att det finns."
329891,Omvandla gram till dl?,Har precis köpt en gainer och det står att man ska ha i 50 gram. Hur mycket är det i ett dl-mått?,2006-05-20,"Det beror på hur fin/grovkornig pulvret är, men men, här är mitt bidrag till upplysning:
Straight out of skafferiet:
1 dl Maizena Majsstärkelse = 55g
1 dl Strösocker = 88g
1 dl Vetemjöl = 60g"
329891,Omvandla gram till dl?,Har precis köpt en gainer och det står att man ska ha i 50 gram. Hur mycket är det i ett dl-mått?,2006-05-21,"Du skulle ju kunna mäta upp en halv dl vatten det väger ju ungefär 50g så kan du ju jämföra med din uppmätta mängd pulver. Det blir ju inte exakt på något sätt men +/- 10g borde inte vara någon omöjlighet om man koncentrerar sig. Annars vore väl en våg ett trevligt kökstillbehör att införskaffa?
Ett annat sätt är ju att läsa på lådan hur mycket hela mängden pulver väger (för det bör väl stå utskrivet) och sen kan du mäta upp hur stor volym allt pulvret tar och vipps så vet du den ungefärliga densiteten på ditt pulver.  "
329891,Omvandla gram till dl?,Har precis köpt en gainer och det står att man ska ha i 50 gram. Hur mycket är det i ett dl-mått?,2006-05-21,"50g vatten = 0,5dl... Vatten är mycket pålitligt, 1kg = 1L etc etc
Står det inte på förpackningen så är det bara att höfta om du itne vill bygga en egen våg.
Mitt råd är att köpa en liten elektrisk våg som visar gram, med nollställningsfunktion och som klarar minst 3kg."
